Name,Location,Rating,Local Image Path,Original Image URL,Latitude,Longitude
RjnCooking - Ăn Vặt Hàn Quốc - Huỳnh Văn Chính,"18B/004 Chung Cư Huỳnh Văn Chính 1, P. Phú Trung, Quận Tân Phú, TP. HCM",3.6,foody_images\25_RjnCooking - Ăn Vặt Hàn Quốc - Huỳnh Văn Chính.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu1z5l78jo9d0@resize_ss640x400,10.7815949,106.6414076
Sister Coffee & Tea,"2384 Phạm Thế Hiển, P. 6, Quận 8, TP. HCM",2.8,foody_images\26_Sister Coffee & Tea.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu31xsq1yu104@resize_ss640x400,10.732158183000024,106.64160107800006
"Highlands Coffee - Trà, Cà Phê & Bánh - Satramart 3/2","460 Đường 3 Tháng 2, P. 12, Quận 10, TP. HCM",3.3,"foody_images\27_Highlands Coffee - Trà, Cà Phê & Bánh - Satramart.jpg",https://down-vn.img.susercontent.com/vn-11134513-820l4-mh2pb97u0gzw82@resize_ss640x400,10.768070927000052,106.66744756500007
Mì Ốc Hến Dì Lan - Cư Xá Đồng Tiến,"1A Cư Xá Đồng Tiến, P. 10, Quận 10, TP. HCM",2.6,foody_images\28_Mì Ốc Hến Dì Lan - Cư Xá Đồng Tiến.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu14bs9au8p57@resize_ss640x400,10.7697939,106.6648162
Trà sữa Maycha - Tô Hiến Thành,"177 Tô Hiến Thành, P. 13, Quận 10, TP. HCM",0.5,foody_images\29_Trà sữa Maycha - Tô Hiến Thành.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgdbni6rbnrhea@resize_ss640x400,10.78015352700004,106.66857472700008
Cheese Coffee - Đinh Tiên Hoàng,"45 Đinh Tiên Hoàng, P. Bến Nghé, Quận 1, TP. HCM",3.2,foody_images\30_Cheese Coffee - Đinh Tiên Hoàng.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgvrbyw43095c2@resize_ss640x400,10.789056363000045,106.69882906100008
Phúc Long Cộng Hoà,"1B Cộng Hòa, Quận Tân Bình, TP. HCM",3.4,foody_images\31_Phúc Long Cộng Hoà.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgu730dhpngpf4@resize_ss640x400,10.800013,106.654368
Phúc Long Thắng Lợi,"Số 2 Trường Chinh, P. Tây Thạnh, Quận Tân Phú, TP. HCM",2.1,foody_images\32_Phúc Long Thắng Lợi.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgu739efobnv64@resize_ss640x400,10.793143881000049,106.65324019400003
Rau Má Mix - Nước Ép & Trà Trái Cây - 464 Cộng Hòa,"464 Cộng Hòa, Quận Tân Bình, TP. HCM",2.4,foody_images\33_Rau Má Mix - Nước Ép & Trà Trái Cây - 464 Cộng Hòa.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ra0g-m9iix065nka672@resize_ss640x400,10.802546565000055,106.64182920800005
Bắp Bò Phương,"46 Đường Số 1, KDC CityLand, Quận Gò Vấp, TP. HCM",2.0,foody_images\34_Bắp Bò Phương.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsts1fz629w9bc@resize_ss640x400,10.83421766300006,106.67181321800008
Chè Người Hoa An Điềm,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.4,foody_images\35_Chè Người Hoa An Điềm.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m610d27tqkifb3@resize_ss640x400,10.751955389000043,106.66565154000006
Chè Thái Út Lyly,"384 Nguyễn Trọng Tuyển, P. 2, Quận Tân Bình, TP. HCM",4.4,foody_images\36_Chè Thái Út Lyly.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9d4by9mb4pbb@resize_ss640x400,10.798714791000066,106.66133423200006
Ái Vy - Sinh Tố & Nước Ép,"37 Công Chúa Ngọc Hân, P. 13, Quận 11, TP. HCM",4.3,foody_images\37_Ái Vy - Sinh Tố & Nước Ép.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu2n52xmc9l61@resize_ss640x400,10.76333181700005,106.65486871600008
"Highlands Coffee - Trà, Cà Phê & Bánh - No 7 Bình Tân FC","142 - 144 Đường Số 7, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",3.5,"foody_images\38_Highlands Coffee - Trà, Cà Phê & Bánh - No 7 Bình.jpg",https://down-vn.img.susercontent.com/vn-11134513-820l4-mh2pe23bsufc72@resize_ss640x400,10.752016724000043,106.61131595200004
Bánh Cuốn Hoa Kiều 2 - Nguyễn Tiểu La,"116B Nguyễn Tiểu La, P. 5, Quận 10, TP. HCM",3.4,foody_images\39_Bánh Cuốn Hoa Kiều 2 - Nguyễn Tiểu La.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstyur3ms69w04@resize_ss640x400,10.762486555000066,106.66667820200009
Hồ Lô Coffee,"9 Chung Cư B1 Bông Sao, P. 5, Quận 8, TP. HCM",4.7,foody_images\40_Hồ Lô Coffee.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwi4bnx5kf6h5c@resize_ss640x400,10.741364950000047,106.66147417900004
"Nhất Phương - Bánh Canh Cua, Bún Mắm & Bún Bò","338 Phan Huy Ích, P. 12, Quận Gò Vấp, TP. HCM",2.1,"foody_images\41_Nhất Phương - Bánh Canh Cua, Bún Mắm & Bún Bò.jpg",https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu3bpw4t1g925@resize_ss640x400,10.8419505,106.6388286
Acai Bliss- Healthy Smoothie Bowls,"53 Bis Trần Quốc Thảo, P. Võ Thị Sáu, Quận 3, TP. HCM",5.0,foody_images\42_Acai Bliss- Healthy Smoothie Bowls.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvdf5gt693tce@resize_ss640x400,10.780233305000024,106.68939698000008
KATINAT - Hàm Nghi,"120 Hàm Nghi, P. Bến Nghé, Quận 1, TP. HCM",2.9,foody_images\43_KATINAT - Hàm Nghi.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mh1kwvkytcspf9@resize_ss640x400,10.771186311000063,106.70203630000007
Phở Hàng Đậu - Phở Hà Nội - 11 Trần Văn Sắc,"11 Trần Văn Sắc, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",0.8,foody_images\44_Phở Hàng Đậu - Phở Hà Nội - 11 Trần Văn Sắc.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvgwm5dk0ihd7@resize_ss640x400,10.8067087,106.7290347
Gà Tần Gia Bảo - 132 Cô Bắc,"132 Cô Bắc, P. Cô Giang, Quận 1, TP. HCM",5.0,foody_images\45_Gà Tần Gia Bảo - 132 Cô Bắc.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ra0g-m7ui0hwwiqv7fd@resize_ss640x400,10.764432851000038,106.69417435100009
"Highlands Coffee - Trà, Cà Phê & Bánh - Sunrise City View D7","B1.19 Sunrise City View, Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",3.2,"foody_images\46_Highlands Coffee - Trà, Cà Phê & Bánh - Sunrise Ci.jpg",https://down-vn.img.susercontent.com/vn-11134513-820l4-mh2pdcklz4stea@resize_ss640x400,10.7455781,106.7010799
Phúc Long Nowzone,"Tầng Trệt - Nowzone, 235 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",3.5,foody_images\47_Phúc Long Nowzone.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgu7310ynlse1d@resize_ss640x400,10.763797242000066,106.68254416100008
Thanh Thúy - Ẩm Thực Miền Trung,"679 Quang Trung, P.11, Quận Gò Vấp, TP. HCM",3.4,foody_images\48_Thanh Thúy - Ẩm Thực Miền Trung.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsts3wru4c78e6@resize_ss640x400,10.836129632000052,106.65916890300008
Bún Cá Châu Đốc Thanh Thủy,"25 Đường Số 15, P. Bình Hưng Hòa, Quận Bình Tân, TP. HCM",4.6,foody_images\49_Bún Cá Châu Đốc Thanh Thủy.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv2h9hnuo5g96@resize_ss640x400,10.801680997000062,106.60745758100006
Ốc Béo Hà Nội,"10 Bàn Cờ, P. 3, Quận 3, TP. HCM",3.5,foody_images\50_Ốc Béo Hà Nội.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu9wi8ogdl0cc@resize_ss640x400,10.769573252000043,106.68073401000004
Gà Rán KFC - Đường Thích Quảng Đức,"87 Thích Quảng Đức, P. 4, Quận Phú Nhuận, TP. HCM",1.8,foody_images\51_Gà Rán KFC - Đường Thích Quảng Đức.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhwt2b9w7a373@resize_ss640x400,10.805273809000028,106.68224841200004
Hua Wu Lou - Dimsum Street - Bùi Thị Xuân,"83B Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",3.1,foody_images\52_Hua Wu Lou - Dimsum Street - Bùi Thị Xuân.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv167sadti179@resize_ss640x400,10.768138211000064,106.68691042100004
Hua Wu Lou - Dimsum Street - Bàn Cờ,"27C Bàn Cờ, P. 3, Quận 3, TP. HCM",3.0,foody_images\53_Hua Wu Lou - Dimsum Street - Bàn Cờ.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu5svbo6x1gce@resize_ss640x400,10.769646365000028,106.68051252100008
BEN Cháo Lòng & Lòng Nhậu - Cháo - 352 Cách Mạng Tháng 8,"352 Cách Mạng Tháng 8, P. 9, Quận 3, TP. HCM",4.3,foody_images\54_BEN Cháo Lòng & Lòng Nhậu - Cháo - 352 Cách Mạng T.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lxe2x24gi9qzaa@resize_ss640x400,10.7804465,106.6769311
Lu Hotdog - Hotdog & Hamburger - Phan Đăng Lưu,"107 Phan Đăng Lưu, P. 7, Quận Phú Nhuận, TP. HCM",4.0,foody_images\55_Lu Hotdog - Hotdog & Hamburger - Phan Đăng Lưu.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu770eeojwkbf@resize_ss640x400,10.803821250000055,106.68624032400004
