Name,Location,Rating
Quán Cơm Hai Lượng - 814 Nguyễn Văn Quá,"814 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM",4.2
Cơm Việt - Phan Huy Ích,"256/64 Phan Huy Ích, P. 12, Quận Gò Vấp, TP. HCM",4.6
Gà Ta Số 1,"015 Lô A, Chung Cư Khang Gia, Đường Số 38, Quận Gò Vấp, TP. HCM",3.8
Quán Ăn Tâm Ký - B102 Nguyễn Văn Quá,"B102 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM",3.1
A Ken - Bún Bò & Cơm Trưa,"965/57 Quang Trung, P. 14, Quận Gò Vấp, TP. HCM",3.8
Hủ Tiếu 3 Miền - Đường Số 45,"Số 38 Đường Số 45, P. 14, Quận Gò Vấp, TP. HCM",5.0
Bánh Ép Huế O Lan,"Hẻm 758 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM",2.5
Bún Chua Cay Macao,"51 Bửu Đình, P. 5, Quận 6, TP. HCM",4.5
TL Sushi & Sashimi - Đường 45,"34 Đường Số 45, P. 14, Quận Gò Vấp, TP. HCM",4.4
Gà Rán & Burger Lotteria - Dương Bá Trạc,"111 Dương Bá Trạc, Quận 8, TP. HCM",3.9
Phượng Hồng - Quán Chè & Ăn Vặt,"335A Minh Phụng, P. 2, Quận 11, TP. HCM",4.0
Mì Vịt Tiềm - Nơ Trang Long,"110 Nơ Trang Long, Quận Bình Thạnh, TP. HCM",3.9
Phá Lấu Dì Nũi - Tôn Đản,"243/30 Tôn Đản, Quận 4, TP. HCM",3.2
Thành Tuộc - Chân Gà Nướng & Mực Nang,"Chung Cư Bàu Cát, 003 Lô L, Đường Số 1, P. 10, Quận Tân Bình, TP. HCM",4.2
Anh Thư Mì Trộn Anh Thư - Phạm Thế Hiển,"12E/1 Phạm Thế Hiển, P. 3, Quận 8, TP. HCM",4.0
Bánh Canh Cá Lóc - Bánh Bột Lọc Huế,"154/3 Hồ Bá Kiện, P. 15, Quận 10, TP. HCM",3.5
"Highlands Coffee - Trà, Cà Phê & Bánh - 601 CMT8","601 Cách Mạng Tháng 8, P. 15, Quận 10, TP. HCM",3.5
Phở Hùng Ngân - Lê Đức Thọ,"2 Lê Đức Thọ, P. 7, Quận Gò Vấp, TP. HCM",2.9
Bột - Healthy Food & Cơm Văn Phòng- Lê Văn Duyệt - Shop Online,"87/53A Lê Văn Duyệt, P. 3, Quận Bình Thạnh, TP. HCM",3.7
Phở Mộc - Bình Phú,"69K Bình Phú, P. 10, Quận 6, TP. HCM",2.9
Dì Hương - Bánh Canh & Cháo Lòng Đêm Chợ Bến Thành,"Vỉa Hè Góc Phan Bội Châu - Lê Lợi (Đối diện cửa Đông chợ Bến Thành), P. Bến Thành, Quận 1, TP. HCM",3.9
Quán Nem Cua Bể,"5 Nguyễn Văn Của, P. 13, Quận 8, TP. HCM",4.5
Ăn Vặt Lộc Thảo - Shop Online,"92D1A Gò Ô Môi, P. Phú Thuận, Quận 7, TP. HCM",5.0
Sáu Bột Chiên - Tên Lửa,"428 Tên Lửa, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",3.6
Oanh Oanh Bakery,"271 Dương Bá Trạc, P. 1, Quận 8, TP. HCM",4.1
Hủ Tiếu Cô Hương - Hoành Thánh Chiên,"152/7/2 Lý Chính Thắng, Quận 3, TP. HCM",3.1
"Bếp Nhà Baby Kem - Chim Cút Chiên Bơ, Cá Viên Chiên & Ăn Vặt - Nguyễn Hữu Cảnh","117/134 Nguyễn Hữu Cảnh, P. 22, Quận Bình Thạnh, TP. HCM",4.7
Sủi Cảo 193 - Hà Tôn Quyền,"193 Hà Tôn Quyền, P. 4, Quận 11, TP. HCM",3.6
Đảo Cá Quận 7 - Nướng Hấp Lẩu - Đường Số 15,"Số 75B Đường số 15, P. Tân Quy, Quận 7, TP. HCM",4.2
Dinh Ý - Cơm Gà Xối Mỡ - Số 23,"64 Số 23, P. Tân Quy, Quận 7, TP. HCM",3.0
Hoàng Yến Vietnamese Cuisine - Ngô Đức Kế,"7 - 9 Ngô Đức Kế, Quận 1, TP. HCM",3.5
Quán Ăn Tấn Lực,"4 Bàu Cát 1, P. 14, Quận Tân Bình, TP. HCM",3.0
Thành Ký Mì Gia - Nguyễn Tri Phương,"541/1 Nguyễn Tri Phương, P. 8, Quận 10, TP. HCM",3.0
Thuận Tuấn - Đặc Sản Cừu Nướng - Nguyễn Văn Thủ,"3/6 Nguyễn Văn Thủ, P. ĐaKao, Quận 1, TP. HCM",3.7
Gyu Shige - Ngưu Phồn - Nướng Nhật Bản - Nguyễn Thị Minh Khai,"183A Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",3.5
Une Journée à Paris Cafe & Bakery,"17 Trần Quốc Toản, P. 8, Quận 3, TP. HCM",4.0
TOUS les JOURS - Khánh Hội,"201 Khánh Hội, P. 6, Quận 4, TP. HCM",3.2
D'Maris - Buffet Cao Cấp - Lotte Mart Nam Sài Gòn,"Lầu 3 Lotte Mart Nam Sài Gòn, 469 Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",3.8
Đỗ Khôn - Huy Đạt - Hủ Tiếu Hồ & Sa Tế Nai,"26 Đinh Hòa, P. 13, Quận 8, TP. HCM",3.7
Cubo - Cơm Tấm Đêm,"122 Nguyễn Cư Trinh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",2.9
Gà Nướng Bùi Thị Xuân - Gà Nướng - Lý Chính Thắng,"60/80A Lý Chính Thắng Lý Chính Thắng, P. 8, Quận 3, TP. HCM",3.1
Cơm Tấm Bà Tám Tiền,"88 Nguyễn Thượng Hiền, Quận Gò Vấp, TP. HCM",3.6
Chè Khúc Bạch Thuý Dung - Đường Số 79,"129 Đường Số 79, Quận 7, TP. HCM",4.4
Ốc Tí Hon - Kênh Tân Hóa,"62 Kênh Tân Hóa, P. Phú Trung, Quận Tân Phú, TP. HCM",2.8
Nàng Gạo - Bánh Tráng Mỡ Hành,"B116 Bạch Đằng, P. 2, Quận Tân Bình, TP. HCM",4.3
Cơm Bình Dân Hồng Ký - Võ Văn Ngân,"54/2 Võ Văn Ngân, P. Bình Thọ, Tp. Thủ Đức, TP. HCM",1.5
7 Bún Riêu,"122 Hậu Giang, P. 6, Quận 6, TP. HCM",3.0
Takoyaki MB,"77/6 Thiên Phước, P. 15, Quận 11, TP. HCM",4.5
ABC Bakery - Nguyễn Văn Lạc,"1A Nguyễn Văn Lạc, P. 21, Quận Bình Thạnh, TP. HCM",3.9
Kibaxa - Bắp Xào Trứng Muối,"8/18 Đường Số 25A, P. Tân Quy, Quận 7, TP. HCM",3.4
Ốc Nốc - Đặc Sản Ốc,"961 Trần Hưng Đạo, P. 1, Quận 5, TP. HCM",3.1
Cafe 18,"18 Phan Châu Trinh, Quận Tân Phú, TP. HCM",5.0
"Bento Delichi - Cơm Gà Xối Mỡ, Cơm Gà Mắm Tỏi - Quận 3","117/3 Vườn Chuối, P. 4, Quận 3, TP. HCM",3.4
Mai Tiên - Cơm Trưa Văn Phòng,"457/1 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",2.2
Hanoi Ngon - Nem Chua Rán Ăn Vặt Chuẩn Hà Nội - Tô Hiến Thành,"163/24/77 Tô Hiến Thành, P. 13, Quận 10, TP. HCM",3.5
Cơm Niêu Chị Dậu,"86 Đường Số 30, P. Tân Phong, Quận 7, TP. HCM",4.7
Cơm Niêu Thiên Lý - Cửu Long,"87A Cửu Long, P. 15, Quận 10, TP. HCM",3.5
Chef Lập - Gà Nướng Pháp - Hai Bà Trưng,"180bis Hai Bà Trưng, P. Đa Kao, Quận 1, TP. HCM",3.6
ABC Bakery - Kinh Dương Vương,"545 Kinh Dương Vương, P. An Lạc , Quận Bình Tân, TP. HCM",2.9
Rin Cafe & Trà Sữa,"97 Đường Số 8, Quận 8, TP. HCM",4.8
Bún Mọc Cầu Bà Tàng - Bông Sao,"231 Đường Bông Sao, P.5, Quận 8, TP. HCM",4.7
Cơm Gà Xối Mỡ Thạch Lam - Thạch Lam,"217 Thạch Lam, P. Phú Thạnh, Quận Tân Phú, TP. HCM",3.5
Thiên Ân Phát - Quán Cơm Chay,"436/15 Cách Mạng Tháng 8, Quận 3, TP. HCM",3.1
Đại Phát Bakery - Lê Quang Định,"123 Lê Quang Định, P. 14, Quận Bình Thạnh, TP. HCM",3.8
Bánh Trung Thu Maison Des Gâteaux,"11 Tú Xương, P. 7, Quận 3, TP. HCM",4.3
Bánh mì Như Lan - 50 Hàm Nghi,"50 Hàm Nghi, P. Bến Nghé, Quận 1, TP. HCM",3.1
Bánh Mì Hấp - Cô Giang,"195 Cô Giang, Quận 1, TP. HCM",2.5
Xôi Mặn Minh Hưng - Độc Lập,"268 Độc Lập, P. Tân Thành, Quận Tân Phú, TP. HCM",3.5
Nga Cầu Đỏ - Vịt Quay,"264 Nguyễn Xí, P. 13, Quận Bình Thạnh, TP. HCM",2.4
Xíu Cua Quán - Cua Rang Me & Lẩu Cua - Tên Lửa,"461 Tên Lửa, P, Bình Trị Đông B, Quận Bình Tân, TP. HCM",0.5
Chân Gà Ngâm Sả Tắc - Shop Online,"117 Nguyễn Du, Quận 1, TP. HCM",4.0
Bún Bò Gánh - Lý Chính Thắng,"110 Lý Chính Thắng, P. 8, Quận 3, TP. HCM",3.2
Quán Chay 103,"103 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",3.7
LuLu - Rau Củ Quả Online - Lý Thường Kiệt,"373/100 Lý Thường Kiệt, P. 8, Quận Tân Bình, TP. HCM",4.5
Chang Kang Kung - Hấp Thủy Nhiệt Hong Kong - Lê Quý Đôn,"Tầng 1, 14 Lê Quý Đôn, P. 6, Quận 3, TP. HCM",3.9
KATINAT - Nguyễn Sơn,"35 Nguyễn Sơn, P. Tây Thạnh, Quận Tân Phú, TP. HCM",3.5
CHUAN KA FOOK CATERING,"141/1 Quân Sự  P11 Q11, Quận 11, TP. HCM",4.3
A Mà Kitchen - Thực Phẩm Đông Lạnh,"23 Tôn Đức Thắng, P. Bến Nghé, Quận 1, TP. HCM",1.4
Tiệm Bánh Thanh Đan,"46B Nguyễn Văn Trỗi, P. 15, Quận Phú Nhuận, TP. HCM",3.6
Minh Quý - Bún Giò Heo,"27/6 Quốc Lộ 22, Xã Tân Thới Nhì, Huyện Hóc Môn, TP. HCM",3.6
ABC Bakery - Bình Chánh,"A 27/9 Quốc lộ 50, P. Bình Hưng , Huyện Bình Chánh, TP. HCM",3.9
Gà Rán Popeyes - Tên Lửa,"223 Đường Số 7, P. Bình Trị Đông, Quận Bình Tân, TP. HCM",3.8
Cơm Gà An Hội,"44/32 Tân Hải, P. 13, Quận Tân Bình, TP. HCM",4.3
Bún Bò Phú Thiên,"22 Tân Hải, Quận Tân Bình, TP. HCM",4.0
"Chân Gà Dzô Dzô - Nem Nướng, Mì Cay & Cá Viên Chiên - Trường Chinh","491/4 Trường Chinh, P. 14, Quận Tân Bình, TP. HCM",4.3
Cháo Mực Thanh Sơn,"144 Nguyễn Đình Chiểu, P. 6, Quận 3, TP. HCM",3.2
Nước Sâm Gia Truyền - Lê Hồng Phong,"318 Lê Hồng Phong, P. 1, Quận 10, TP. HCM",3.7
Domino’s Pizza - Kha Vạn Cân,"738 Kha Vạn Cân, Tp. Thủ Đức, TP. HCM",3.8
Lan Huệ - Bánh Mì Thịt Nướng Pate,"402/3 Lê Văn Sỹ, Quận 3, TP. HCM",3.2
Bánh Mì Tư Ấu,"Hẻm 174 Nguyễn Thiện Thuật, P. 3, Quận 3, TP. HCM",3.5
Quán Trang - Mì Quảng & Bánh Bèo,"68/6 Lữ Gia, P. 15, Quận 11, TP. HCM",3.2
Bún Đậu Mạc Văn Khoa - Trần Quang Khải,"90 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",2.5
A Lử Bún Đậu - Bún Chả Hà Nội,"3 Đường Số 35, P. Linh Đông, Tp. Thủ Đức, TP. HCM",4.3
Tacos & Hamburger 24/7,"194/19/25 Bạch Đằng, P. 24, Quận Bình Thạnh, TP. HCM",4.0
Chè Mè Đen Lượm,"27A Nguyễn Văn Đậu, P. 6, Quận Bình Thạnh, TP. HCM",4.0
Bún Thịt Nướng Anh Thành,"67 Võ Văn Kiệt, P. Cầu Ông Lãnh, Quận 1, TP. HCM",2.9
Gỏi Khô Bò Ông Năm - Nguyễn Văn Thủ,"76 Nguyễn Văn Thủ, P. Đa Kao, Quận 1, TP. HCM",3.7
Baba Espresso - Coffee & Tea,"229 Đặng Thùy Trâm (Đường Trục), P. 13, Quận Bình Thạnh, TP. HCM",3.7
Chef Gấu - Cơm Cà Ri Vị Nhật,"41/28 Ngô Quyền, P. 6, Quận 10, TP. HCM",3.8
